hulpstof	Gluten
BETACAROTENE 1% CWS-M {MIXTURE OF 8 INGREDIENTS}	
BETADEX (E 459)	
BETAINE HYDROCHLORIDE	
BIS-DIGLYCEROLPOLYACYLADIPINAAT-2	
BISABOLOL (RI)	
BIXINEOLIE	
BLACK INK 1007 {MIXTURE OF 7 INGR. OF WHICH 4 SOLID} (RI)	
BLACKCURRANT FLAVOURING E.9611332 (RI)	
BLAUWE INKT	
BLOEDSINAASAPPELSMAAKSTOF	
BOORZUUR (E 284)	
BORAX 10-WATER (E 285)	
BRAMENSMAAKSTOF	
BRILJANTBLAUW FCF (E 133)	
BRILJANTBLAUW FCF ALUMINIUMLAK (E133)	
BRILJANTGROEN	
BRILJANTZWART BN (E151)	
BRUINE INKT	
BUTAAN (E 943A)	
BUTAAN (HEAD-SPACE) (E 943A)	
BUTYLHYDROXYANISOL (E 320)	
BUTYLHYDROXYTOLUEEN (E 321)	
BUTYLPARAHYDROXYBENZOAAT	
CACAOBOTER	
CACAOSMAAKSTOF	
CALCIUM ARACHINATE (RI)	
CALCIUM BEHENATE	
CALCIUM HYDROGEN PHOSPHATE (HYDRATE FORM  UNKNOWN) (E 341) (RI)	
CALCIUM NATRIUM BUTROL	
CALCIUMBEHENAAT	
CALCIUMCARBONAAT (E 170)	
CALCIUMCHLORIDE 2-WATER (E 509)	
CALCIUMCHLORIDE 6-WATER	
CALCIUMCITRAAT 4-WATER	
CALCIUMDIWATERSTOFFOSTAAT 0-WATER	
CALCIUMHYDROXIDE (E 526)	
CALCIUMLACTAAT 5-WATER (E 327)	
CALCIUMSILICAAT (E 552)	
CALCIUMSTEARAAT (E 470A)	
CALCIUMSULFAAT 2-WATER (E 516)	
CALCIUMWATERSTOFFOSFAAT 0-WATER (E 341)	
CALCIUMWATERSTOFFOSFAAT 2-WATER (E 341)	
CALTERIDOL CALCIUM (RI)	
CANDELILLAWAS (E 902)	
CAPRYLZUUR (E 570)	
CARAMEL (E 150)	
CARAMEL AROMA C.F.8806 (RI)	
CARAMELSMAAKSTOF 52929 A	
CARAMELSMAAKSTOF, ROMIG	
CARBOMEER (TYPE UNKNOWN)	
CARBOMEER 1342	
CARBOMEER 1382	
CARBOMEER 71G-NF	
CARBOMEER 934	
CARBOMEER 934P	
CARBOMEER 940	
CARBOMEER 941	
CARBOMEER 971P	
CARBOMEER 974P	
CARBOMEER 980	
CARBOMEER 981	
CARBOMEER INTERPOLYMEER TYPE A	
CARBOXYMETHYLETHYLCELLULOSE	
CARMELLOSE (E 466)	
CARMELLOSE CALCIUM (E 466)	
CARMELLOSE NATRIUM (E 466)	
CARMINEZUUR (E 120)	
CARMINEZUUR ALUMINIUM LAK (E 120)	
CARNAUBAWAS (E 903)	
CARRAGEENAN (E 407)	
CASEÏNE HYDROLYSAAT	
CASSIS FLAVOUR 54.377/A (RI)	
CASTOROLIE	
CASTOROLIE,  NATRIUMZOUT	
CASTOROLIE, GEHYDREERD	
CASTOROLIE, GEZUIVERD	
CASTOROLIE, POLYETHYLENGLYCOLETHER	
CEDERBLADOLIE	
CEDERHOUTOLIE	
CELLULOSE, DISPERGEERBAAR	
CELLULOSE, GEPOEDERD (E 460)	
CELLULOSE, MICROKRISTALLIJN (E 460)	
CELLULOSEACETAAT	
CELLULOSEACETAATFTALAAT	
CERA ALBA (LN)	
CETOMACROGOL EMULGERENDE WAS (MENGSEL)	
CETOSTEARYLALCOHOL	
CETOSTEARYLALCOHOL,  EMULGEREND, TYPE A/ TYPE B (MENGSEL)	
CETOSTEARYLALCOHOL, EMULGEREND, TYPE A	
CETOSTEARYLALCOHOL, EMULGEREND, TYPE B (MENGSEL)	
CETOSTEARYLALCOHOL, GEETHOXYLEERD	
CETRIMIDE	
CETYLALCOHOL	
CETYLESTERS WAS	
CETYLPALMITAAT	
CHAMOMILE TINCTURE (RI)	
CHERRY FLAVOUR 17.41.0086 (RI)	
CHERRY FLAVOUR PERMASEAL  PHS-143671 (GIVAUDAN)	
CHEWING GUM BASE DANMED 1 (25045) (RI)	
CHINOLINEGEEL (E 104)	
CHINOLINEGEEL ALUMINIUMLAK (E 104)	
CHLOORBUTANOL 0-WATER	
CHLOORBUTANOL 0.5-WATER	
CHLOORCRESOL	
CHLOORHEXIDINE DIACETAAT	
CHLOORHEXIDINEDIHYDROCHLORIDE	
CHLOORXYLENOL	
CHLORIDE (CL-)	
CHLOROALLYL METHENAMINE CHLORIDE (RI)	
CHLOROPHYL KOPER COMPLEX (E 141 I)	
CHLOROPHYLLINE KOPER COMPLEX ALUMINIUM LAKE (E 141 II)	
CHLOROPHYLLINE NATRIUM KOPER COMPLEX(E141 II)	
CHOCOLADESMAAKSTOF	
CHOCOLATE DRY FLAVOUR (RI)	
CHOLECALCIFEROL	
CHOLESTEROL	
CINNAMALDEHYDE	
CINNAMON ESSENTIAL OIL E.2047 (RI)	
CITRAL	
CITRIC ACID, HYDRATE FORM UNKNOWN (E 330) (RI)	
CITROEN-LIMOENSMAAKSTOF	
CITROEN-LIMOENSMAAKSTOF PHS-131984	
CITROENOLIE	
CITROENSMAAKSTOF	
CITROENSMAAKSTOF 051124A Firmenich	
CITROENSMAAKSTOF 301686 Evogran	
CITROENSMAAKSTOF AU	
CITROENSMAAKSTOF BSL CODE NO. 119	
CITROENSMAAKSTOF CT	
CITROENSMAAKSTOF H&R 290252	
CITROENSMAAKSTOF LCA (CODE NR 120)	
CITROENSMAAKSTOF, Fona Int. code 862.015	
CITROENZUUR 0-WATER (E 330)	
CITROENZUUR 1-WATER (E 330)	
CITROENZUURESTERS VAN MONO- EN DIGLYCERIDEN VAN VETZUREN (E 472c)	
CITRONELLAOLIE	
CITRUS AROMA	
CLINDAMYCINEDIWATERSTOFFOSFAAT	
COCAMIDE DEA	
COCHENILLE ROOD (E 124)	
COCOA ESSENCE (RI)	
COCOBETAINE	
COCOS/VANILLE AROMA FAVEUR 905291 (RI)	
COCOSOLIE	
COCOYLCAPRYLOCAPRAAT	
COFFEINE 0-WATER	
COLLAGEEN, EQUINE	
COLOFONIUM	
COLOPHONIUM, GEHYDREERD	
COLOPHONIUM, GEHYDREERD GLYCEROL ESTERS	
COLOUR MIXTURE ORANGE M-1-3509 {MIXTURE CONTAINING 5 SOLID INGREDIENTS } (RI)	
COMPOSITION UNKNOWN (RI)	
COMPOUND 64.404/NY/D (PERFUME) (RI)	
CONFECTIONER'S SUGAR (SUCROSE + MAIZE STARCH) (RI)	N
CONTRAMARUM SMAAKSTOF 210741 (Symrise)	
COOL MINT SMAAKSTOF 501525T Firmenich	
COPOLYMEER VAN  METHACRYLZUUR-METHYLMETHACRYLAAT (1:2)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (50),  VINYLACETAAT (50)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (62,2), METHACRYLAAT (32,0), ACRYLZUUR (5,7), GLYCIDYLMETHACRYLAAT (0,03)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (68,3), VINYLACETAAT (25,5), 2-HYDROXYETHYLACRYLAAT (5,2)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (72),  2-HYDROXYETHYLACRYLAAT (5), METHYLACRYLAAT (23)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (75,0), BUTYLACRYLAAT (15,0), ACRYLZUUR (5,0), VINYLACETAAT (5,0)	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT (75,0), BUTYLACRYLAAT (15,0), ACRYLZUUR (5,0), VINYLACETAAT (5,0) MET ALUMINIUMACETYLACETONAAT ALS CROSSLINKINGAGENT	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT, GLYCIDYLMETHACRYLAAT, HYDROXYETHYLACRYLAAT, VINYLACETAAT	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT, METHYLACRYLAAT, ACRYLZUUR, TETRAMETHYLSUCCINODINITRIL	
COPOLYMEER VAN 2-ETHYLHEXYLACRYLAAT, VINYLACETAAT, ACRYLZUUR	
COPOLYMEER VAN ACRYLAMIDE-NATRIUM ACRYLOYLDIMETHYLTAURAAT-ISOHEXADECAAN	
COPOLYMEER VAN AMMONIUM ACRYLOYLDIMETHYLTAURAAT-VINYLPYRROLIDON	
COPOLYMEER VAN BUTYLMETHACRYLAAT-METHYLMETHACRYLAAT	
COPOLYMEER VAN CROTONZUUR-VINYLACETAAT	
COPOLYMEER VAN DIMETHYLSILOXAAN-METHYLVINYLSILOXAAN	
COPOLYMEER VAN ETHYLACRYLAAT-METHACRYLZUUR (1:1)	
COPOLYMEER VAN ETHYLACRYLAAT-METHYLMETHACRYLAAT (2:1)	
COPOLYMEER VAN ETHYLEEN-VINYLACETAAT	
COPOLYMEER VAN ETHYLEEN-VINYLACETAAT (15 pCt. vinylacetaat)	
COPOLYMEER VAN ETHYLEEN-VINYLACETAAT (28 pCt. vinylacetaat)	
COPOLYMEER VAN ETHYLEEN-VINYLACETAAT (40 pCt. vinylacetaat)	
COPOLYMEER VAN ETHYLEEN-VINYLACETAAT (9 pCt. vinylacetaat)	
COPOLYMEER VAN ISOOCTYL ACRYLAAT(20,0)-METHYL METHACRYLAAT(65,0)-N-VINYLPYRROLIDINON(15,0)	
COPOLYMEER VAN ISOOCTYLACRYLAAT-ACRYLAMIDE	
COPOLYMEER VAN MACROGOL (25,0)-POLY(VINYL ALCOHOL) (75,0)	
COPOLYMEER VAN METHACRYLAAT KALIUM-DIVINYLBENZEEN	
COPOLYMEER VAN METHACRYLZUUR-METHYLMETHACRYLAAT (1:1)	
COPOLYMEER VAN METHYLMETHACRYLAAT-ACRYLZUUR-ETHYLACRYLAAT	
COPOLYMEER VAN METHYLMETHACRYLAAT-METHYLACRYLAAT	
COPOLYMEER VAN POLYVINYLCAPROLACTAM, POLYVINYLACETAAT, POLYETHYLEENGLYCOL, GRAFT COPOLYMEER	
COPOLYMEER VAN STYREEN-BUTADIËEN, BLOKCOPOLYMEER VAN STYREEN-BUTADIËEN-STYREEN	
COPOLYMEER VAN STYREEN-ISOPREEN, BLOKCOPOLYMEER VAN STYREEN-ISOPREEN-STYREEN	
COPOLYMER OF DIVINYLBENZENE / STYRENE, SULFONIC ACID (RI)	
COPOLYMER OF ETHYLENE GLYCOL DIMETHACRYLATE/LAURYL METHACRYLATE (RI)	
COPOLYMER OF ISOBUTYLMETHACRYLATE\T-OCTYLACRYLAMIDE\ACRYLIC ACID (RI)	
COPOLYMER OF POLYETHYLENE-ISOOCTYL ACRYLATE-ACRYLIC ACID	
COPOVIDON	
CREATININE	
CREME-CARAMEL AROMA SILESIA FLAVOURS	
CROSCARMELLOSE  NATRIUM  (E 468)	
CROSCARMELLOSE (E 468)	
CROSPOVIDON (E 1202)	
CURACAO FLAVOUR 50397 A (RI)	
CURCUMIN (E 100) (RI)	
CYCLODEXTRINE, GAMMA	
CYCLOMETICON	
CYPRESOLIE	
CYSTEINE (L-)HYDROCHLORIDE 1-WATER (E 920)	
CYSTEÏNE (L-)	
D&C ROOD No 33	
DANOJA CHEWING GUM BASE, PRODUCT CODE 25060 (RI)	
DANOJA NOF CHEWING GUM BASE, PRODUCT CODE: 25067 (RI)	
DECYLOLEAAT	
DENATONIUMBENZOAAT 1-WATER	
DENNENNAALDENOLIE	
DEOXYCHOLZUUR	
DEXPANTHENOL	
DEXTRAAN	
DEXTRAAN 70	
DEXTRATEN	
DEXTRINE	
DIACETYLWIJNSTEENZUURESTERS VAN MONO- EN DIGLYCERIDEN (E472e)	
DIBUTYLADIPAAT	
DIBUTYLFTALAAT	
DIBUTYLSEBACAAT	
DICYCLOHEXYLMETHAAN-4,4'-DIISOCYANAAT	
DIETHANOLAMINE (RI)	
DIETHYLAMINE	
DIETHYLEENGLYCOLMONOETHYLETHER	
DIETHYLFTALAAT	
DIHYDROXYALUMINIUM NATRIUMCARBONAAT	
DIISOPROPYL ADIPATE (RI)	
DIISOPROPYLSEBACAAT	
DIKALIUMWATERSTOFFOSFAAT 0-WATER (E 340)	
DIMENTHYLGLUTARAAT	
DIMETHYLACEETAMIDE	
DIMETHYLETHER	
DIMETHYLFTALAAT	
DIMETICON (E 900)	
DIMETICONOL	
DINATRIUMCALCIUMEDETAAT, GEHYDRATEERD (E 385)	
DINATRIUMCROMOGLICAAT	
DINATRIUMEDETAAT 0-WATER	
DINATRIUMEDETAAT 2-WATER	
DINATRIUMEDETAAT(HYDRAAT VORM ONBEKEND)	
DINATRIUMFOSFAT (IN)	
DINATRIUMLAURETHSULFOSUCCINAAT	
DINATRIUMLAURYLSULFOSUCCINAAT	
DINATRIUMSUCCINAAT 6-WATER	
DINATRIUMSULFOSALICYLAAT 3-WATER	
DINATRIUMTARTRAAT 2-WATER (E 335)	
DINATRIUMWATERSTOFCITRAAT 1,5 WATER	
DINATRIUMWATERSTOFFOSFAAT 0-WATER (E 339)	
DINATRIUMWATERSTOFFOSFAAT 1-WATER (E 339)	
DINATRIUMWATERSTOFFOSFAAT 12-WATER (E 339)	
DINATRIUMWATERSTOFFOSFAAT 2-WATER (E 339)	
DINATRIUMWATERSTOFFOSFAAT 7-WATER (E 339)	
DISODIUM PHOSPHATE, HYDRATE FORM UNKNOWN (E 339) (RI)	
DISODIUM SULPHOSALICYLATE (RI)	
DISTEAROYLFOSFATIDYLGLYCEROL	
DOCUSAAT NATRIUM	
DODECYL-2-N,N-DIMETHYLAMINOPROPIONAATHYDROCHLORIDE	
DOMIFEENBROMIDE	
DRUIVENSMAAKSTOF	
DRUKINKT	
EDETAAT TETRANATRIUM	
EDIBLE FATS (RI)	
EETBARE LIJM	
EI FOSFATIDEN, GEZUIVERD	
EMULGADE F SPECIAL {MIXTURE OF 2 INGREDIENTS} (RI)	
EMULGERENDE WAS (MENGSEL)	
ERWTZETMEEL, HYDROXYPROPYL (GEMODIFICEERD)	N
ERYTHROSINE (E 127)	
ERYTHROSINE ALUMINIUMLAK (E 127)	
ESCULOSIDE 0-WATER	
ETHANOL	
ETHANOL 96 %	
ETHANOL 96 PER CENT	
ETHANOL ANHYDROUS	
ETHANOL, GEDENATUREERD MET METHANOL	
ETHANOLAMINE	
ETHER	
ETHYL ESTER OF ESSENTIAL FATTY ACIDS (RI)	
ETHYLBUTYRAAT	
ETHYLCELLULOSE (E 462)	
ETHYLEENDIAMINE-N,N'-DIAZIJNZUUR	
ETHYLEENDIAMINETETRAAZIJNZUUR	
ETHYLEENGLYCOL	
ETHYLEENGLYCOLMONOPALMITOSTEARAAT	
ETHYLEENGLYCOLSTEARAAT	
ETHYLENE VINYL ACETATE (RI)	
ETHYLLACTAAT	
ETHYLLAURAAT	
ETHYLMALTOL	
ETHYLOLEAAT	
ETHYLPARAHYDROXYBENZOAAT (E 214)	
ETHYLVANILLINE	
EUCALYPTOL	
EUCALYPTUS PARFUM	
EUCALYPTUSOLIE	
EUCAMENTHOLSMAAKSTOF-200286 SYMRISE	
EUDRAGIT L 30 D-55 {MIXTURE OF 4 INGREDIENTS OF WHICH 3 SOLID} (RI)	
EXCIPIENTS IN ACTIVE INGREDIENT MIXTURES (RI)	
FENETHYLALCOHOL	
FENNEL FLAVOUR (RI)	
FENOL	
FENOLSULFONFTALEINE	
FENOXYETHANOL	
FENYLETHYLALCOHOL	
FENYLKWIK (II) NITRAAT	
FERRIAMMONIUMCITRAAT	
FERRIC CHLORIDE HEXAHYDRATE	
FLAVOR, ORANGE JUICE, NATURAL AND ARTIFICIAL (RI)	
FLAVOUR FOR SMOKER 84.6422 (ROBERTET) (RI)	
FORMALDEHYD-CASEIN (RI)	
FORMALDEHYDE	
FORMALDEHYDE OPLOSSING	
FOSFAAT (3-)	
FOSFATIDYLCHOLINE, SOJA, GEHYDREERD	
FOSFATIDYLCHOLINE, SOYA	
FOSFORZUUR (E 338)	
FRAMBOZENSMAAKSTOF	
FRAMBOZENSMAAKSTOF A BC 00199	
FRESCOFORTSMAAKSTOF	
FRUCTOSE (D-)	
FRUIT-PUNCH SMAAKSTOFPOEDER	
FRUIT-PUNCHSMAAKSTOF	
FRUITSMAAKSTOF S-117772 Givaudan	
FUMAARZUUR (E 297)	
GARDEN MINT FLAVOUR (RI)	
GEEN HULPSTOFFEN	
GELATIN, HYDROLYZED (RI)	
GELATIN, HYDROLYZED AND CROSS-LINKED WITH GLUTARALDEHYDE (RI)	
GELATINE (E 441)	
GELATINE, AFKOMSTIG VAN VIS	
GELATINE, GEHYDROLYSEERD	
GELATINE, GEMODIFICEERD, GESUCCINYLEERD (MOLECUULGEWICHT ONBEKEND)	
GELATINE, GESUCCINYLEERD (32500 Da)	
GELE BIJENWAS	
GELE INKT	
GELE OF WITTE WAS (E901)	
GELE PRUIMEN-CITROENAROMA 39K 020	
GELLANGOM (E 418)	
GEMBER-CITROENSMAAKSTOF, CODE: WONF 034223	
GEMBERSMAAKSTOF 550229 TH Firmenich	
GENTISINEZUUR	
GERANIOL	
GEZUIVERD WATER	
GLUCONOLACTON (E 575)	
GLUCOSE (HYDRATATIEVORM ONBEKEND)	
GLUCOSE 0-WATER	
GLUCOSE 1-WATER	
GLUCOSE, VLOEIBAAR	
GLUTAMINEZUUR HYDROCHLORIDE	
GLYCEROL (E 422)	
GLYCEROL 85 PER CENT (E 422)	
GLYCEROL MONOCAPRYLOCAPRAAT, TYPE I	
GLYCEROLDIBEHENAAT	
GLYCEROLDISTEARAAT	
GLYCEROLMONOLAURAAT (E 471)	
GLYCEROLMONOLINOLEAAT	
GLYCEROLMONOSTEARAAT (E 471)	
GLYCEROLMONOSTEARAAT 40-55 (E 471)	
GLYCEROLPALMITOSTEARAAT	
GLYCEROLTRIACETAAT (E 1518)	
GLYCERYL BEHENATE (E 471) (RI)	
GLYCERYLMONORICINOLAAT (E 471)	
GLYCERYLMONOSTEARAAT, ZELF-EMULGEREND	
GLYCINE (E 640)	
GLYCINE HYDROCHLORIDE (E 640) (RI)	
GLYCOCHOLZUUR	
GLYCOFUROL (RI)	
GOUDKLEURIGE INKT	
GRAPEFRUIT FLAVOUR 11473-71 (RI)	
GRAPEFRUITSMAAKSTOF	
GREEN S (E 142)	
GRENADINE FLAVOUR (RI)	
GRIJZE INKT	
GRIJZE INKT F6	
GROENE INKT	
GUAR GOM (E 412)	
GUARAPROLOSE	
HARD VET	
HAVERSTROO FLAVOUR ZD 49284 (NAARDEN) (RI)	
HELIUM (HEAD SPACE) (E 939) (RI)	
HEPARINE	
HEPARINE NATRIUM	
HEPTAFLUOROPROPAAN	
HERBACOL 015393 TDLYF	
HEXAAN-1,2,6-TRIOL	
HEXYLEENGLYCOL	
HIGHER POLYOLS (RI)	
HISTIDINE, (L-)	
HISTIDINEMONOHYDROCHLORIDE 1-WATER (L-)	
HONEY FLAVOUR PERMASEAL 73425-31 (RI)	
HONING	
HONINGSMAAKSTOF	
HONINGSMAAKSTOF 503666 A Firmenich	
HUMAAN ALBUMINE	
HUMAAN ALBUMINE OPLOSSING	
HUMAAN SERUMALBUMINE	
HUMAAN, NORMAAL IMMUNOGLOBULINE VOOR INTRAVENEUS GEBRUIK	
HYDROGELCOPOLYMEER	
HYDROXYETHYLCELLULOSE	
HYDROXYETHYLSALICYLAAT	
HYDROXYPROPYL-GAMMA-CYCLODEXTRINE	
HYDROXYPROPYLBETADEX	
HYDROXYPROPYLCELLULOSE, LAAG GESUBSTITUEERD (E 463)	
HYPROLOSE (E 463)	
HYPROMELLOSE (E 464)	
HYPROMELLOSE (Release controlling polymer)(E 464)	
HYPROMELLOSE,  type 2208 (Release controlling polymer), K15M, K100M (E 464)	
HYPROMELLOSE, Type 2910 (3 - 15 mPa.s) (E 464)	
HYPROMELLOSE, type 2208 (Release controlling polymer), K4M (E 464)	
HYPROMELLOSE, type 2910 (Release controlling polymer), E4M (E 464)	
HYPROMELLOSEACETAATSUCCINAAT	
HYPROMELLOSEFTALAAT	
IJZER, METALLISCH	
IJZEROXIDE  BRUIN (E 172)	
IJZEROXIDE (Type en Kleur onbekend) (E 172)	
IJZEROXIDE GEEL (E 172)	
IJZEROXIDE ROOD  (E 172)	
IJZEROXIDE ROOD-BRUIN (E 172)	
IJZEROXIDE ZWART (E 172)	
IJZEROXIDE ZWART-BRUIN (E 172)	
IMIDUREUM	
INDIGOKARMIJN (E 132)	
INDIGOKARMIJN ALUMINIUMLAK (E 132)	
INKT MET ONBEKENDE SAMENSTELLING	
INULINE	
INVERTSUIKER	
IOBENGUANE SULPHATE (RI)	
ISOBUTAAN (HEAD-SPACE) (E 943B)	
ISOBUTYL PARAHYDROXYBENZOATE (RI)	
ISOLEUCINE, (L-)	
ISOMALT (E 953)	
ISOPROPYLALCOHOL	
ISOPROPYLMYRISTAAT	
ISOPROPYLPALMITAAT	
ISOSTEARINEZUUR	
JOBENGUAANHEMISULFAAT	
JOFLUPAAN I 127	
KALIUM (K+)	
KALIUMACETAAT	
KALIUMALUMINIUMSILICAAT (E 555)	
KALIUMCARBONAAT 0-WATER	
KALIUMCHLORIDE	
KALIUMDIWATERSTOFFOSFAAT 0-WATER (E 340)	
KALIUMHEXACYANOFERRAAT (III)	
KALIUMHYDROXIDE (E 525)	
KALIUMJODAAT	
KALIUMMETABISULFIET (E 224)	
KALIUMSORBAAT (E 202)	
KALIUMWATERSTOFCARBONAAT (E 501 (II))	
KALIUMWATERSTOFGLUTAMAAT (L-VORM) (E 622)	
KAMFER, (D,L-Vorm)	
KAMFER, (D-Vorm)	
KAMILLESMAAKSTOF, Virginia Dare 26149	
KAOLIEN	
KARMIJN (E120)	
KARWIJ-OLIE	
